,followers_count,following_count,name,tweet_count,listed_count
498,49,41,takeditor,228,1
499,2215,1340,mmmryo,25177,79
500,12588,73,fukunagakatsuya,64,100
501,6892,830,memori_fukuda,2949,107
502,9017,5546,nan,76125,358
503,9017,5546,nan,76125,358
504,38210,1058,kouhiraiwa777,4469,139
505,9017,5546,nan,76125,358
506,9871,344,shiawasenocake,16129,228
507,9639,1298,3to4hiramatsu,5501,146
508,5930,748,freelance_jp,4955,60
509,1650,297,hiranotakahisa,7585,75
510,1151,1397,takayainfo,3258,28
511,4133,3516,kaztaira,7069,234
512,1367,886,yonejpn,13914,95
513,24003,757,kyoneshige,12863,839
514,437,69,YONEZAWAIZUMI1,1954,5
515,9017,5546,nan,76125,358
516,9017,5546,nan,76125,358
517,29959,3559,katahira_tenki,31963,1102
518,9017,5546,nan,76125,358
519,9017,5546,nan,76125,358
520,9017,5546,nan,76125,358
521,62837,897,minesoh,201347,1710
522,691,117,toyorashotaro,2711,29
523,1142,830,mayumi_t,1881,52
524,46652,901,hirokim21,15991,591
525,9017,5546,nan,76125,358
526,82873,367,ped_allergy,23519,1483
527,204207,28056,8bit_HORIJUN,84206,4163
528,1152,682,asoseiichiro,391,64
529,13557,269,senoo8masatoshi,8503,125
530,2906,952,yuutasue0501,9619,67
531,1010,297,KSuetomi,10804,12
532,9017,5546,nan,76125,358
533,9017,5546,nan,76125,358
534,4062,2541,kaito_twtr,41509,65
535,5281,1527,wataitakeharu,23300,237
536,28312,409,takashikiso,128070,673
537,9017,5546,nan,76125,358
538,9017,5546,nan,76125,358
539,9017,5546,nan,76125,358
540,6709,95,masakimu41,3949,254
541,4224,1637,kim1123y,6910,53
542,7606,2259,kamitonami,29709,231
543,38907,2276,kinoryuichi,73651,2136
544,1637,2046,yuichy02,19887,59
545,7275,358,writer_y_yanai,8029,795
546,2476,1184,yhgsa,6491,85
547,18323,706,ERxICU_yakkun,24733,311
548,9017,5546,nan,76125,358
549,71230,231,KUSOLAB,17273,1066
550,28838,1898,yanai_factcheck,4992,1812
551,123,21,nobuyukiyo,75,7
552,7399,189,YoiTateiwa,2074,125
553,448,1109,ryokaiyoshiko,3019,11
554,7123,574,payapima,33871,377
555,9017,5546,nan,76125,358
556,272,1463,akkirami_,1594,4
557,65,27,harue_suzuki,771,1
558,911,1677,lovevisionb,2675,28
559,5302,139,yu_suzuki_tenki,4928,48
560,9017,5546,nan,76125,358
561,132,48,ysgenko,208,9
562,2413,22,MUTSUJI_Shoji,767,92
563,9017,5546,nan,76125,358
564,2938,1710,wadayuki,268,101
565,9692,75,FakePearl_inst,7655,234
566,579,140,uuhiroi,386,52
567,9017,5546,nan,76125,358
568,9017,5546,nan,76125,358
569,9017,5546,nan,76125,358
570,7495,1107,agata_naoj,10706,417
571,1522,1583,sssss_sssss_10,2280,30
572,3907,171,SonochanUSA,12039,105
573,2579,1045,yakun28,5731,55
574,9017,5546,nan,76125,358
575,9477,8980,shunyahamada,1355,76
576,9017,5546,nan,76125,358
